order_id,date,amount,status
ORD_20260617_0001,2026-06-17,119.82,PENDING
ORD_20260617_0002,2026-06-17,314.7,PENDING
ORD_20260617_0003,2026-06-17,179.49,REFUNDED
ORD_20260617_0004,2026-06-17,370.13,REFUNDED
ORD_20260617_0005,2026-06-17,83.95,COMPLETED
ORD_20260617_0006,2026-06-17,377.94,COMPLETED
ORD_20260617_0007,2026-06-17,333.5,REFUNDED
ORD_20260617_0008,2026-06-17,44.35,CANCELLED
ORD_20260617_0009,2026-06-17,295.42,CANCELLED
ORD_20260617_0010,2026-06-17,490.31,REFUNDED
ORD_20260617_0011,2026-06-17,181.23,COMPLETED
ORD_20260617_0012,2026-06-17,176.8,CANCELLED
ORD_20260617_0013,2026-06-17,451.92,PENDING
ORD_20260617_0014,2026-06-17,180.69,PENDING
ORD_20260617_0015,2026-06-17,311.78,COMPLETED
ORD_20260617_0016,2026-06-17,258.39,CANCELLED
ORD_20260617_0017,2026-06-17,217.14,REFUNDED
ORD_20260617_0018,2026-06-17,66.38,COMPLETED
ORD_20260617_0019,2026-06-17,95.83,PENDING
ORD_20260617_0020,2026-06-17,313.29,CANCELLED
ORD_20260617_0021,2026-06-17,405.55,REFUNDED
ORD_20260617_0022,2026-06-17,312.58,CANCELLED
ORD_20260617_0023,2026-06-17,348.91,CANCELLED
ORD_20260617_0024,2026-06-17,195.09,PENDING
ORD_20260617_0025,2026-06-17,280.59,CANCELLED
ORD_20260617_0026,2026-06-17,168.36,REFUNDED
ORD_20260617_0027,2026-06-17,249.34,REFUNDED
ORD_20260617_0028,2026-06-17,402.69,PENDING
ORD_20260617_0029,2026-06-17,413.42,PENDING
ORD_20260617_0030,2026-06-17,220.82,REFUNDED
ORD_20260617_0031,2026-06-17,474.77,PENDING
ORD_20260617_0032,2026-06-17,257.89,CANCELLED
ORD_20260617_0033,2026-06-17,322.66,CANCELLED
ORD_20260617_0034,2026-06-17,122.07,CANCELLED
ORD_20260617_0035,2026-06-17,201.35,CANCELLED
ORD_20260617_0036,2026-06-17,58.57,PENDING
ORD_20260617_0037,2026-06-17,388.45,REFUNDED
ORD_20260617_0038,2026-06-17,271.58,REFUNDED
ORD_20260617_0039,2026-06-17,391.63,REFUNDED
ORD_20260617_0040,2026-06-17,210.84,COMPLETED
ORD_20260617_0041,2026-06-17,289.91,REFUNDED
ORD_20260617_0042,2026-06-17,338.74,COMPLETED
ORD_20260617_0043,2026-06-17,267.69,CANCELLED
ORD_20260617_0044,2026-06-17,408.06,CANCELLED
ORD_20260617_0045,2026-06-17,348.46,REFUNDED
ORD_20260617_0046,2026-06-17,69.88,CANCELLED
ORD_20260617_0047,2026-06-17,203.89,COMPLETED
ORD_20260617_0048,2026-06-17,452.73,CANCELLED
ORD_20260617_0049,2026-06-17,181.34,REFUNDED
ORD_20260617_0050,2026-06-17,207.04,PENDING
