order_id,date,amount,status
ORD_20260603_0001,2026-06-03,260.41,COMPLETED
ORD_20260603_0002,2026-06-03,122.03,REFUNDED
ORD_20260603_0003,2026-06-03,184.66,COMPLETED
ORD_20260603_0004,2026-06-03,146.13,CANCELLED
ORD_20260603_0005,2026-06-03,249.1,PENDING
ORD_20260603_0006,2026-06-03,306.16,CANCELLED
ORD_20260603_0007,2026-06-03,335.86,REFUNDED
ORD_20260603_0008,2026-06-03,51.47,CANCELLED
ORD_20260603_0009,2026-06-03,182.43,CANCELLED
ORD_20260603_0010,2026-06-03,181.43,REFUNDED
ORD_20260603_0011,2026-06-03,44.4,COMPLETED
ORD_20260603_0012,2026-06-03,414.86,COMPLETED
ORD_20260603_0013,2026-06-03,467.82,CANCELLED
ORD_20260603_0014,2026-06-03,104.62,COMPLETED
ORD_20260603_0015,2026-06-03,325.58,PENDING
ORD_20260603_0016,2026-06-03,239.6,PENDING
ORD_20260603_0017,2026-06-03,249.56,CANCELLED
ORD_20260603_0018,2026-06-03,184.07,CANCELLED
ORD_20260603_0019,2026-06-03,105.8,REFUNDED
ORD_20260603_0020,2026-06-03,95.82,REFUNDED
ORD_20260603_0021,2026-06-03,317.2,COMPLETED
ORD_20260603_0022,2026-06-03,162.53,CANCELLED
ORD_20260603_0023,2026-06-03,211.23,PENDING
ORD_20260603_0024,2026-06-03,401.99,CANCELLED
ORD_20260603_0025,2026-06-03,107.08,PENDING
ORD_20260603_0026,2026-06-03,89.25,REFUNDED
ORD_20260603_0027,2026-06-03,485.53,CANCELLED
ORD_20260603_0028,2026-06-03,285.31,CANCELLED
ORD_20260603_0029,2026-06-03,205.75,PENDING
ORD_20260603_0030,2026-06-03,368.22,PENDING
ORD_20260603_0031,2026-06-03,165.41,CANCELLED
ORD_20260603_0032,2026-06-03,129.75,REFUNDED
ORD_20260603_0033,2026-06-03,300.0,CANCELLED
ORD_20260603_0034,2026-06-03,337.23,CANCELLED
ORD_20260603_0035,2026-06-03,250.85,PENDING
ORD_20260603_0036,2026-06-03,350.34,REFUNDED
ORD_20260603_0037,2026-06-03,414.69,COMPLETED
ORD_20260603_0038,2026-06-03,328.33,CANCELLED
ORD_20260603_0039,2026-06-03,494.19,CANCELLED
ORD_20260603_0040,2026-06-03,373.84,COMPLETED
ORD_20260603_0041,2026-06-03,350.57,PENDING
ORD_20260603_0042,2026-06-03,272.57,PENDING
ORD_20260603_0043,2026-06-03,430.76,REFUNDED
ORD_20260603_0044,2026-06-03,275.23,PENDING
ORD_20260603_0045,2026-06-03,397.31,REFUNDED
ORD_20260603_0046,2026-06-03,99.74,COMPLETED
ORD_20260603_0047,2026-06-03,417.26,CANCELLED
ORD_20260603_0048,2026-06-03,101.31,PENDING
ORD_20260603_0049,2026-06-03,419.63,REFUNDED
ORD_20260603_0050,2026-06-03,443.2,CANCELLED
ORD_20260603_0051,2026-06-03,494.26,COMPLETED
ORD_20260603_0052,2026-06-03,87.58,CANCELLED
ORD_20260603_0053,2026-06-03,437.01,CANCELLED
ORD_20260603_0054,2026-06-03,25.55,COMPLETED
ORD_20260603_0055,2026-06-03,145.83,COMPLETED
ORD_20260603_0056,2026-06-03,224.49,PENDING
ORD_20260603_0057,2026-06-03,112.97,CANCELLED
ORD_20260603_0058,2026-06-03,204.47,REFUNDED
ORD_20260603_0059,2026-06-03,295.43,PENDING
ORD_20260603_0060,2026-06-03,14.31,CANCELLED
ORD_20260603_0061,2026-06-03,134.38,CANCELLED
